409401492043341824	399886342	Sat Dec 07 19:18:16 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		#yyc	I need this. #girlslikeus http://t.co/k139yGNV2m	jingle Kel's	KelestiMMO
409417728470966272	604607829	Sat Dec 07 20:22:47 +0000 2013			web	0		#GirlsLikeUs 	http://t.co/X3rHOR068f	Lisa Quinn	lisaquinn345
409444068435828737	2169256538	Sat Dec 07 22:07:27 +0000 2013			web	0		London	Do any #girlslikeus know if if @transinaction was just another sock of @danaequality/@miss_sudo/@fakejanice? TIA is now protected tweets.	Peg Malion	pegmalion
