390270730438709249	16421477	Wed Oct 16 00:19:27 +0000 2013			<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>	false		San Diego, California	Congrats to @ParisLees, named by @Independent as No 1 on its #PinkList! http://t.co/l33eiBa1jz ; http://t.co/ybEJkt4e6R #girlslikeus	Autumn Sandeen	AutumnSandeen
390272513126973440	18924291	Wed Oct 16 00:26:32 +0000 2013			<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>	false		New York City	RT @kat_blaque: My 7 Question Tag for #WeHappyTrans http://t.co/YnLe0iUdpr @calpernia @janetmock #girlslikeus #transgender #TWOC	Janet Mock	janetmock
390308173204037632	967033308	Wed Oct 16 02:48:14 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @RealJamesWoods: @dorybenami Thanks for the compliments. On all counts.  I'm thrilled when a liberal thinks my politics are awful.	CAMI	xoCAMILLAxo
390327160826630145	967033308	Wed Oct 16 04:03:41 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @Norsu2: Our Constitution is Trending !!!  And God Bless America http://t.co/o5hz8qpBvq #tcot #Vets #2a #USA	CAMI	xoCAMILLAxo
390328683077963776	967033308	Wed Oct 16 04:09:44 +0000 2013	390327126257586176	16710420	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	...and most likely an "inside" job it seems!  @irritatedwoman @michellemalkin	CAMI	xoCAMILLAxo
390332604786163712	967033308	Wed Oct 16 04:25:19 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @TheToady: Daughter says she's already spent her allowance, and can't make it 'till Friday. I suggested she "spend" her way out of it. T…	CAMI	xoCAMILLAxo
390333846576590848	967033308	Wed Oct 16 04:30:15 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @TXFairTaxer: No income tax; the present system or the contemplated flat tax compares favorably with the #FairTax. http://t.co/wI2DfA8rgg	CAMI	xoCAMILLAxo
390337264997265408	967033308	Wed Oct 16 04:43:50 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	This little dude is either get'n framed or he just found out what his New OCare premium will be... http://t.co/N4KeigDzNB	CAMI	xoCAMILLAxo
390338095238746112	967033308	Wed Oct 16 04:47:08 +0000 2013	390337313446055936	470641615	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Meech calls all wankers "u/e drummers!"!  @gretschdad @Meeeech_L @zacbrown13	CAMI	xoCAMILLAxo
390342424007954432	1858994628	Wed Oct 16 05:04:20 +0000 2013			<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>	false			RT @s_camtx: #Southern #girlslikeus  #SaveLockysDad @NickAuden #CompassionateUse Sign http://t.co/ipU9r87Qhq @bmsnews $bmy #notcool #Biomar…	Cat Mitchell	thecharmedcat69
