341917229694205954	967033308	Tue Jun 04 13:59:54 +0000 2013	341917090724319232	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	self-righteous bullshit all day long!  @Slaythedragon75 @mizcreant @stuedal	CAMI
341918336919142400	261731573	Tue Jun 04 14:04:18 +0000 2013			web	false		los angeles california	RT @angelicaross: NEW VIDEO!  About 1 minute into this video I am serving Sports Illustrated Swimsuit REALNESS! LOL! #GirlsLikeUs http://t.…	TONI NEWMAN
341918957583863810	967033308	Tue Jun 04 14:06:46 +0000 2013	341917891563753474	789599245	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	There's a difference between living  an honest, righteous life and being self-righteous!  @WortheyAC @Slaythedragon75 @mizcreant @stuedal	CAMI
341919620342616064	967033308	Tue Jun 04 14:09:24 +0000 2013	341919494266044416	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	of a God is not one of human form!  @StevenDLindsey @WortheyAC @Slaythedragon75 @mizcreant @stuedal	CAMI
341921822364807169	967033308	Tue Jun 04 14:18:09 +0000 2013	341921690823041024	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	For me it is symbolism and lessons for Life!  @Slaythedragon75 @StevenDLindsey @WortheyAC @mizcreant @stuedal	CAMI
341923311531483137	609861656	Tue Jun 04 14:24:04 +0000 2013			<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>	false		Atlanta	NIce writeup on my autobioscience book by LGBT group of my alma mater (Dartmouth). #lgbt #girlslikeus #trans http://t.co/JIcqYaWOOP	DanaJBevan
341940398840750080	813979346	Tue Jun 04 15:31:58 +0000 2013			<a href="http://tapbots.com/tweetbot" rel="nofollow">Tweetbot for iOS</a>	false		UK, South	GIC of the future: I prescribe 1yr twitter therapy, 1yr Online Life Experience.  Then hormones.  Then 2 yrs RLE then surgery. #girlslikeus	Sophie Palmer
341941388843307008	967033308	Tue Jun 04 15:35:54 +0000 2013	341940143835467776	17690286	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	U think atheists r above calling me a freak or calling a black man the "N" word? @mizcreant @Slaythedragon75 @BillyDees @WortheyAC @stuedal	CAMI
341943364188532736	604607829	Tue Jun 04 15:43:45 +0000 2013	341942184016224256	600365481	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		#GirlsLikeUs 	@RachelLizMills I have to admit it's getting a bit silly now. Still I didn't get this far b4 either. Still quality I think.	Lisa Quinn
341945952145387520	14781770	Tue Jun 04 15:54:02 +0000 2013			<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false		Here and Now	RT @janetmock: YES! RT @fakerapper: 4 Black #Transgender Led Crowdfunding Campaigns You Should Consider http://t.co/zhc81hGzRA #girlslikeus…	Proteas & Magnolias
341956228429275136	366749007	Tue Jun 04 16:34:52 +0000 2013			<a href="http://www.echofon.com/" rel="nofollow">Echofon</a>	false		in the construct program	All quoted citations in this tweet series from the "A Broken Bargain" report released today: http://t.co/RjErq8DzB3 #girlslikeus	Cisnormativity
341956794253443073	967033308	Tue Jun 04 16:37:07 +0000 2013	341955564319961089	17690286	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Humor me @mizcreant IF there was a God, what "form" would God take? @StevenDLindsey @Slaythedragon75 @stuedal	CAMI
341960187780931585	967033308	Tue Jun 04 16:50:36 +0000 2013	341959883299647488	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	The single cell that life may have come from...  is it part of tve Universe?@Slaythedragon75 @StevenDLindsey @WortheyAC @mizcreant @stuedal	CAMI
341963580641509376	18924291	Tue Jun 04 17:04:05 +0000 2013	341963267524157440	37005435	web	false		Manhattan via Oahu	@TransEquality @ArcusLGBT Thank you! Am elated to continue this movement-building work together. #trans #girlslikeus	Janet Mock
341967640929120256	967033308	Tue Jun 04 17:20:13 +0000 2013	341966907026575361	724496870	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	My evidence is my experience! i can only hope your eyes are opened someday! @Slaythedragon75 @StevenDLindsey @WortheyAC @mizcreant @stuedal	CAMI
341976083886923777	1054950787	Tue Jun 04 17:53:46 +0000 2013			web	false		Detroit-ish, MI	New blog post: Moving the Female Goalposts http://t.co/8pJTFbQSYY  #girlslikeus #kristinbeck	Ariamythe
341979112396693505	216605214	Tue Jun 04 18:05:48 +0000 2013			<a href="http://levelupstudio.com/plume" rel="nofollow">Plume for Android</a>	false		'Frohemian Illinois	#GirlsLikeUs MT @ClutchMagazine Retired Navy Seal Transitions to Womanhood http://t.co/ZRXz9l6qCv	Child of Zora
341979993154400256	14965452	Tue Jun 04 18:09:18 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		Parts Known.	RT @cisnormativity: On what cis advocacy for #girlslikeus means. RT @SamAmbreen: Taking sides http://t.co/hqvYYY0KeD  #Transphobia #Racism …	Lady Applesauce
