395252964064886785	967033308	Tue Oct 29 18:17:04 +0000 2013	395252620157132800	707378887	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Only those that wield influence over gov't!  @lilmsgs @912gauge @Rowanes @CTarian @Meeeech_L	CAMI	xoCAMILLAxo
395255136554975233	967033308	Tue Oct 29 18:25:42 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @WebAntOnYT: .@lilmsgs @912gauge @xoCAMILLAxo @Meeeech_L #SNAP is very much an entitlement or charity. No one really earns food stamps.	CAMI	xoCAMILLAxo
395257070116560896	967033308	Tue Oct 29 18:33:23 +0000 2013	395256105455992832	52230962	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Id gladly not take it if I could stop paying into it!  Would much rather invest myself!  @WebAntOnYT @lilmsgs @912gauge @Meeeech_L	CAMI	xoCAMILLAxo
395260148949585920	967033308	Tue Oct 29 18:45:37 +0000 2013	395259449251618816	707378887	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	First, Revenue and Expenditures are two different things!  @lilmsgs @912gauge @Meeeech_L	CAMI	xoCAMILLAxo
395264271984365568	1640393216	Tue Oct 29 19:02:00 +0000 2013			<a href="http://roundteam.co" rel="nofollow">RoundTeam</a>	false		The Philippines	RT @TrevorProject: To @JanetMock, living visibly as trans means she's "authentically, wholly herself." http://t.co/veqDBaBe1u #GirlsLikeUs …	Manila Pride March ®	TheManilaPride
395272316415778816	967033308	Tue Oct 29 19:33:58 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @912gauge: @lilmsgs read article 1. Enumerated powers. That oughta cover it.  @xoCAMILLAxo @Rowanes @CTarian @Meeeech_L	CAMI	xoCAMILLAxo
395273381874245632	18924291	Tue Oct 29 19:38:12 +0000 2013	395251990353043456	633306379	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		New York City	@EndlesslySara so happy you made it out today. Sorry we couldn't meet! #girlslikeus	Janet Mock	janetmock
395275218849390592	18924291	Tue Oct 29 19:45:30 +0000 2013	395227803479986176	42519247	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		New York City	@marlymonroe thanks so much. We have much work to do and can only do it together. #girlslikeus	Janet Mock	janetmock
395276141746864128	967033308	Tue Oct 29 19:49:10 +0000 2013	395275819800481792	707378887	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	No, it's not illegal to lobby!  @lilmsgs @912gauge @Rowanes @CTarian @Meeeech_L	CAMI	xoCAMILLAxo
395279501204013056	967033308	Tue Oct 29 20:02:31 +0000 2013	395279331758338048	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	gaining market share solely on the merits of their products! @lilmsgs @Rowanes @CTarian @Meeeech_L	CAMI	xoCAMILLAxo
395317338104291329	967033308	Tue Oct 29 22:32:52 +0000 2013	395310906910859264	52230962	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	UGH!  Yes, they pay the full rate per tax law!  How does a company pay 35% of -$10k?  @WebAntOnYT @lilmsgs @Meeeech_L @912gauge	CAMI	xoCAMILLAxo
395318369882087424	967033308	Tue Oct 29 22:36:58 +0000 2013	395310906910859264	52230962	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Do you pay the amount required for your income bracket?  @WebAntOnYT @lilmsgs @Meeeech_L @912gauge	CAMI	xoCAMILLAxo
