370963623490777088	967033308	Fri Aug 23 17:39:54 +0000 2013	370962832093085696	327592612	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	He didnt Steven, he made it personal...  TM could have been him, remember? @StevenDLindsey @Shaughn_A	CAMI 	xoCAMILLAxo
370963988651069440	967033308	Fri Aug 23 17:41:21 +0000 2013	370963420956217344	856721436	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Just a hunch!  @J__Persson	CAMI 	xoCAMILLAxo
370964231631282176	967033308	Fri Aug 23 17:42:19 +0000 2013	370963547297034241	34694337	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Didnt say that!  @WillRicci @J__Persson	CAMI 	xoCAMILLAxo
370966786071474176	967033308	Fri Aug 23 17:52:28 +0000 2013	370965946304696320	856721436	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	He didnt just call Ayn Rand a Libertarian. She's a self-proclaimed Objectivist!  @J__Persson @JohnGort @AnalyticalEcon	CAMI 	xoCAMILLAxo
370974294005653504	967033308	Fri Aug 23 18:22:18 +0000 2013	370973640004620288	856721436	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	...AND thats why I assumed u were atheist!  You are condascending as many seem to be!  @J__Persson @JohnGort	CAMI 	xoCAMILLAxo
370980279264899072	967033308	Fri Aug 23 18:46:05 +0000 2013	370979104914296832	327592612	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	No, most didnt.  Maybe every one in ten I spoke to on here!  And YOU were the one for the other ten I debated! @StevenDLindsey @Shaughn_A	CAMI 	xoCAMILLAxo
370980392553029632	967033308	Fri Aug 23 18:46:32 +0000 2013	370978988929216512	1096105645	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	LOL...   I like her spirit!  lol. @JohnGort @Moni53825245 @AnalyticalEcon	CAMI 	xoCAMILLAxo
370981067743690752	967033308	Fri Aug 23 18:49:13 +0000 2013	370980601253216257	1247950627	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Religion IS NOT!  (Some) Religious people are!  @Moni53825245	CAMI 	xoCAMILLAxo
370981701217816576	22721958	Fri Aug 23 18:51:44 +0000 2013			<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	false		San Francisco	Unacceptable media coverage of Chelsea Manning's transition #GirlsLikeUs http://t.co/4JzrSs5mLQ	Trans March	transmarch
370982305172840448	25787797	Fri Aug 23 18:54:08 +0000 2013			<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false		Everywhere	"I Might Have Been Chelsea Manning." —@TwidX #girlslikeus http://t.co/CAyDoHLOGH (ht: @theyoungist)	SDA Kinship	SDAKinship
370990387705692160	29755593	Fri Aug 23 19:26:15 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false			RT @Lavernecox: Too many #transdreams deferred as we remember #DrKing's #Ihaveadream speech. #girlslikeus #twoc  http://t.co/1eHUrPiKlV @OI…	cl@ire-Be@r-(UK)	bubblewish
370994573285138432	820080	Fri Aug 23 19:42:53 +0000 2013			<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	false		Santa Fe NM USA	RT @GivMeUrIndieLit: #girlslikeus #fuckcispeople #dearcispeople whether meaningful change happens for #Manning and other imprisoned trans* …	Natasha Yar-Routh	xiomberg
370996096044388352	1508758562	Fri Aug 23 19:48:56 +0000 2013			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		Brooklyn,NY	RT @Lavernecox: Too many #transdreams deferred as we remember #DrKing's #Ihaveadream speech. #girlslikeus #twoc  http://t.co/1eHUrPiKlV @OI…	Prerna	PrernaSays
370996754465824768	1287849018	Fri Aug 23 19:51:33 +0000 2013			web	false		Everywhere you want to be	RT @Lavernecox: Last month @chrisgeidner wrote this piece we should be awarebof today. http://t.co/2ZTTT7uT2v #GirlsLikeUs	TheLesbianSocialite	TheLesSocialite
370999648535982080	22891564	Fri Aug 23 20:03:03 +0000 2013			<a href="http://tapbots.com/tweetbot" rel="nofollow">Tweetbot for iOS</a>	false		Washington, D.C.	RT @Lavernecox: Last month @chrisgeidner wrote this piece we should be awarebof today. http://t.co/2ZTTT7uT2v #GirlsLikeUs	Chris Geidner	chrisgeidner
371001913543630849	967033308	Fri Aug 23 20:12:03 +0000 2013	371001462563676160	242292790	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Scarier than zombies for sure!  lol. @vanonly1 @Snarfernini @OnlyFastEddie	CAMI 	xoCAMILLAxo
371003540904636416	345356127	Fri Aug 23 20:18:31 +0000 2013			<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	false		Deutschland, Germany	RT @LaynieDane: RT @cisnormativity Please RT if you know &amp; respect a woman who is trans. #girlslikeus #nolessvalid #EQUALITY	Monika Eggers	GreenSkyOverMe
371007085120880641	345356127	Fri Aug 23 20:32:36 +0000 2013			<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	false		Deutschland, Germany	RT @iheartava31: @janetmock thank you love. We are still having #girlslikeus issues here in the Philippines especially when looking for emp…	Monika Eggers	GreenSkyOverMe
371041029396234241	967033308	Fri Aug 23 22:47:29 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @k_selmser: @Shaughn_A Nobody, no matter what race, needs a college class to teach them who they are. High five for staying true to your…	CAMI 	xoCAMILLAxo
371045219476598784	967033308	Fri Aug 23 23:04:08 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @theblaze: WATCH: Glenn Beck’s scathing critique of Obama’s ‘divisive’ leadership http://t.co/YPp7GZ83sg	CAMI 	xoCAMILLAxo
371050668015890432	967033308	Fri Aug 23 23:25:47 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @mrgeology: Sharpton. A quote from the days of the Crown Heights riot. He's a racist, homophobe and anti-Semite. http://t.co/40eyc0aa6o	CAMI 	xoCAMILLAxo
