336582641258209283	967033308	Mon May 20 20:42:09 +0000 2013	336581077831401472	587764530	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Long-term climate changes have occurred throughout time u fucking dolt! @DannyLegacki @TaBeckerTdadCO @SuzieWilliams @BarackObama @tnovak7	CAMI
336587053745717250	967033308	Mon May 20 20:59:41 +0000 2013	336586045334372352	587764530	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Have not seen one semi-unbiased source for your bullshit!    @DannyLegacki @SuzieWilliams @gigafumi @BarackObama @tnovak7	CAMI
336587577924653058	967033308	Mon May 20 21:01:46 +0000 2013	336586953912877057	587764530	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Oh, u mean lying cunts? I stand by that statement!     @DannyLegacki @gigafumi @SuzieWilliams @BarackObama @tnovak7	CAMI
336594381022851072	967033308	Mon May 20 21:28:48 +0000 2013	336592917303021568	587764530	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	We'd have HillaryCare instead of ObamaCare had they not shut him down! @DannyLegacki @SuzieWilliams @Just_a_Texan @tnovak7	CAMI
336598466119749632	967033308	Mon May 20 21:45:02 +0000 2013	336597759106875394	587764530	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Anti-worker?  I happen to employ people!   @DannyLegacki @PowerGavin @SuzieWilliams @Just_a_Texan @tnovak7	CAMI
336603751009878016	967033308	Mon May 20 22:06:02 +0000 2013	336602781563645953	587764530	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	You're an absolute loser!      @DannyLegacki @PowerGavin @SuzieWilliams @Just_a_Texan @tnovak7	CAMI
336604635995439104	967033308	Mon May 20 22:09:33 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	I treat my employees fine...  If I dont have revenue to pay them theyre out jobs! !@DannyLegacki @PowerGavin @SuzieWilliams @Just_a_Texan	CAMI
336611644845195266	967033308	Mon May 20 22:37:24 +0000 2013	336610228374233088	391555496	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	I can give u 100 reasons why!  The answer isnt gov't controlled healthcare...Costs will increase by 50% in the next two yrs! @Rolltide_mn	CAMI
336614110877847552	967033308	Mon May 20 22:47:12 +0000 2013	336612919615836160	250911899	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	No one has a RIGHT to the job...  I hire the best person for it! @spsmith78 @DannyLegacki @PowerGavin @SuzieWilliams @Just_a_Texan @tnovak7	CAMI
336614379346870272	967033308	Mon May 20 22:48:16 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @DannyLegacki: @gigafumi @suziewilliams @justeric @xocamillaxo @tabeckertdadco @tnovak7 IRs and AP cases still breaking, don't know all …	CAMI
336617290483249153	967033308	Mon May 20 22:59:50 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @lordthx1139: @SuzieWilliams @DannyLegacki @gigafumi @JustEric @xoCAMILLAxo @TaBeckerTdadCO @tnovak7 You spelled "Reach-Around" wrong.	CAMI
336626773687160832	967033308	Mon May 20 23:37:31 +0000 2013	336626664777863169	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	...paid the difference.  @Rolltide_mn	CAMI
336627482281250817	967033308	Mon May 20 23:40:20 +0000 2013	336626791303241728	21260858	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	We're racist birther redneck slave owners who starve babies! @SuzieWilliams @JustEric @Terio818  @gigafumi @TaBeckerTdadCO @tnovak7	CAMI
