210716460413235202	32171756	Thu Jun 07 12:54:53 +0000 2012			<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false		Arizona	Homophobia &amp; Transphobia Hurts Everyone: http://t.co/DjD2d18r. Excellent video from our friends in Canada. #girlslikeus #trans	Abby Jensen
210866205165223937	18634831	Thu Jun 07 22:49:55 +0000 2012			web	false		ÜT: 43.244273,-87.921308	The highlight from meeting everyone from "The Heart of a Woman" is when @tonidnewman referred to me as the Trans Sade #girlslikeus MAD LOVE	Angelica Ross
210872744315854848	18634831	Thu Jun 07 23:15:54 +0000 2012			<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false		ÜT: 43.244273,-87.921308	In reality this trip wore me OUT (other factors included), but I feel even stronger now and more ready to take it all on #girlslikeus	Angelica Ross
