175777257829306369	406704286	Sat Mar 03 02:58:58 +0000 2012			web	false		The City	Reading #girlsLikeUs Thankful I found @GEMSGIRLS	Jennifer Upton
175999341826277376	409802775	Sat Mar 03 17:41:27 +0000 2012			web	false			Starting #GirlsLikeUs in paperback! What an IMPORTANT/Powerful book. The importance of sharing our stories @GEMSGIRLS @FAIR_Girls @theIRC	sejustz
175999341826277376	409802775	Sat Mar 03 17:41:27 +0000 2012			web	false			Starting #GirlsLikeUs in paperback! What an IMPORTANT/Powerful book. The importance of sharing our stories @GEMSGIRLS @FAIR_Girls @theIRC	sejustz
